 ガジュマル, ディアドラ
 ガジュマル, カリビアンゴールド
 ガジュマル, ポールヴァンドル
 ガジュマル, ブラックオニキス
 ガジュマル, ライジングリーズン
 ガジュマル, ルヴォワール
 ガジュマル, ミッシングリンク
 ガジュマル, サロニカ
 ガジュマル, ホウオウパフューム
 ガジュマル, プリンセスルーラー
 ガジュマル, シーズララバイ
 ガジュマル, ナムラムラサキ
 ガジュマル, マナローラ
 ガジュマル, フレスコパスト
 ガジュマル, ワラッチャウヨネ
 ガジュマル, ジッパーレーン
 ガジュマル, シンボリジュネス
