 アキノクリンチ, ベルカント
 アキノクリンチ, ニホンピロアンバー
 アキノクリンチ, エスメラルディーナ
 アキノクリンチ, アドマイヤビジン
 アキノクリンチ, ホウライアキコ
 アキノクリンチ, ダンスアミーガ
 アキノクリンチ, マイネヴァリエンテ
 アキノクリンチ, ヤマノフェアリー
 アキノクリンチ, ホッコーサラスター
 アキノクリンチ, レムミラス
 アキノクリンチ, シュシュブリーズ
 アキノクリンチ, フクノドリーム
 アキノクリンチ, グランシェリー
 アキノクリンチ, リアルヴィーナス
 アキノクリンチ, ノーブルサイレンス
