 カジキ, キクノストーム
 カジキ, マルカフリート
 カジキ, アドマイヤサガス
 カジキ, トキノゲンジ
 カジキ, ミリオンヴォルツ
 カジキ, シゲルカガ
 カジキ, エイシンヴァラー
 カジキ, サトノタイガー
 カジキ, タイセイファントム
 カジキ, サウンドガガ
 カジキ, キョウエイアシュラ
 カジキ, カーティスバローズ
 カジキ, デルマヌラリヒョン
 カジキ, エーシントップ
 カジキ, サクラアドニス
 カジキ, ノボバカラ
 カジキ, ニシケンモノノフ
 カジキ, コーリンベリー
 カジキ, ゴーイングパワー
 カジキ, タールタン
 カジキ, スウィープアウェイ
 カジキ, グレープブランデー
 カジキ, エイシンブルズアイ
 カジキ, キタサンミカヅキ
 カジキ, ダノングッド
 カジキ, マキャヴィティ
 カジキ, テムジン
 カジキ, フラットライナーズ
 カジキ, ルックスザットキル
