 ディアシューター, スワーヴリチャード
 ディアシューター, エトルディーニュ
 ディアシューター, ムーヴザワールド
 ディアシューター, タイセイスターリー
 ディアシューター, エアウィンザー
 ディアシューター, ビルズトレジャー
 ディアシューター, チャロネグロ
 ディアシューター, アサギリジョー
 ディアシューター, エテレインミノル
 ディアシューター, サイバーエレキング
 ディアシューター, カデナ
 ディアシューター, マイスタイル
 ディアシューター, ダンビュライト
 ディアシューター, ベストアプローチ
 ディアシューター, サトノマックス
 ディアシューター, コマノインパルス
 ディアシューター, テーオーフォルテ
 ディアシューター, グローブシアター
 ディアシューター, ダイワキャグニー
 ディアシューター, スマートエレメンツ
 ディアシューター, キャッスルクラウン
