 ルヴォワール, ディアドラ
 ルヴォワール, カリビアンゴールド
 ルヴォワール, ポールヴァンドル
 ルヴォワール, ブラックオニキス
 ルヴォワール, ライジングリーズン
 ルヴォワール, ミッシングリンク
 ルヴォワール, サロニカ
 ルヴォワール, ホウオウパフューム
 ルヴォワール, プリンセスルーラー
 ルヴォワール, シーズララバイ
 ルヴォワール, ナムラムラサキ
 ルヴォワール, マナローラ
 ルヴォワール, フレスコパスト
 ルヴォワール, ワラッチャウヨネ
 ルヴォワール, ジッパーレーン
 ルヴォワール, ガジュマル
 ルヴォワール, シンボリジュネス
