 ダンツエイコウ, スマートオーディン
 ダンツエイコウ, アグネスフォルテ
 ダンツエイコウ, ロイカバード
 ダンツエイコウ, ブラックスピネル
 ダンツエイコウ, エルプシャフト
 ダンツエイコウ, エルリストン
 ダンツエイコウ, スワーヴアーサー
 ダンツエイコウ, ゼンノタヂカラオ
 ダンツエイコウ, スズカバーディー
 ダンツエイコウ, ユウチェンジ
 ダンツエイコウ, フォルテミノル
 ダンツエイコウ, カルムパシオン
 ダンツエイコウ, アドマイヤビスタ
