 ローハイド, イスラボニータ
 ローハイド, ベルキャニオン
 ローハイド, サトノアラジン
 ローハイド, マイネルフロスト
 ローハイド, ピオネロ
 ローハイド, ハギノハイブリッド
 ローハイド, ショウナンワダチ
 ローハイド, ラインカグラ
 ローハイド, ネオヴァロン
 ローハイド, シングンジョーカー
 ローハイド, ガリバルディ
 ローハイド, アスペンツリー
 ローハイド, レッドオラシオン
