 バイオレントブロー, ダノンプレミアム
 バイオレントブロー, ステルヴィオ
 バイオレントブロー, カーボナード
 バイオレントブロー, テンクウ
 バイオレントブロー, シュバルツボンバー
 バイオレントブロー, ダブルシャープ
 バイオレントブロー, コスモインザハート
 バイオレントブロー, ルッジェーロ
 バイオレントブロー, ソイルトゥザソウル
 バイオレントブロー, ボウルズ
 バイオレントブロー, エングローサー
 バイオレントブロー, マイネルサイルーン
 バイオレントブロー, メイショウドウドウ
 バイオレントブロー, ハクサンフエロ
 バイオレントブロー, メルムサール
 バイオレントブロー, スワーヴエドワード
 バイオレントブロー, スターリバー
