 ゴージャスガール, シングウィズジョイ
 ゴージャスガール, ディアマイダーリン
 ゴージャスガール, マキシマムドパリ
 ゴージャスガール, ウインアキレア
 ゴージャスガール, エバーシャルマン
 ゴージャスガール, バンゴール
 ゴージャスガール, ナガラフラワー
 ゴージャスガール, アスカビレン
 ゴージャスガール, フロレットアレー
 ゴージャスガール, ロックキャンディ
 ゴージャスガール, サダムブルーハワイ
 ゴージャスガール, グリシーヌシチー
 ゴージャスガール, アドマイヤピンク
 ゴージャスガール, リアンドジュエリー
 ゴージャスガール, タマモボレロ
 ゴージャスガール, レッドカーラ
