 イイコトズクシ, アサクサゲンキ
 イイコトズクシ, アイアンクロー
 イイコトズクシ, バーニングペスカ
 イイコトズクシ, ヴァイザー
 イイコトズクシ, ペイシャルアス
 イイコトズクシ, モズスーパーフレア
 イイコトズクシ, スーサンドン
 イイコトズクシ, タイセイソニック
 イイコトズクシ, オーロスターキス
 イイコトズクシ, ルリハリ
 イイコトズクシ, シトリカ
 イイコトズクシ, ナムラアッパレ
 イイコトズクシ, テイエムスグレモン
 イイコトズクシ, ナムラバンザイ
 イイコトズクシ, ジュンドリーム
 イイコトズクシ, ニシノダンテ
 イイコトズクシ, フローラルシトラス
