 アンノートル, トラスト
 アンノートル, ブラックオニキス
 アンノートル, アドマイヤウイナー
 アンノートル, エトルディーニュ
 アンノートル, フラワープレミア
 アンノートル, ジャコマル
 アンノートル, インヴィクタ
 アンノートル, タガノアシュラ
 アンノートル, ディープウォーリア
 アンノートル, トリオンフ
 アンノートル, コリエドール
 アンノートル, コパノカーニバル
