 アイアンクロー, アサクサゲンキ
 アイアンクロー, バーニングペスカ
 アイアンクロー, ヴァイザー
 アイアンクロー, イイコトズクシ
 アイアンクロー, ペイシャルアス
 アイアンクロー, モズスーパーフレア
 アイアンクロー, スーサンドン
 アイアンクロー, タイセイソニック
 アイアンクロー, オーロスターキス
 アイアンクロー, ルリハリ
 アイアンクロー, シトリカ
 アイアンクロー, ナムラアッパレ
 アイアンクロー, テイエムスグレモン
 アイアンクロー, ナムラバンザイ
 アイアンクロー, ジュンドリーム
 アイアンクロー, ニシノダンテ
 アイアンクロー, フローラルシトラス
