 エネスク, グレンツェント
 エネスク, ケイティブレイブ
 エネスク, レガーロ
 エネスク, ピットボス
 エネスク, マイネルバサラ
 エネスク, ネクストムーブ
 エネスク, ラテールプロミーズ
 エネスク, フォースリッチ
 エネスク, オーシャンビュー
 エネスク, グランセブルス
 エネスク, コパノリスボン
 エネスク, ヨシオ
