 サダムブルーハワイ, シングウィズジョイ
 サダムブルーハワイ, ディアマイダーリン
 サダムブルーハワイ, マキシマムドパリ
 サダムブルーハワイ, ウインアキレア
 サダムブルーハワイ, エバーシャルマン
 サダムブルーハワイ, バンゴール
 サダムブルーハワイ, ナガラフラワー
 サダムブルーハワイ, アスカビレン
 サダムブルーハワイ, ゴージャスガール
 サダムブルーハワイ, フロレットアレー
 サダムブルーハワイ, ロックキャンディ
 サダムブルーハワイ, グリシーヌシチー
 サダムブルーハワイ, アドマイヤピンク
 サダムブルーハワイ, リアンドジュエリー
 サダムブルーハワイ, タマモボレロ
 サダムブルーハワイ, レッドカーラ
