 スミレ, ゴールドドリーム
 スミレ, ストロングバローズ
 スミレ, グレンツェント
 スミレ, ピットボス
 スミレ, クインズサターン
 スミレ, ダノンフェイス
 スミレ, レッドウィズダム
 スミレ, イーグルフェザー
 スミレ, マイネルバサラ
 スミレ, ノーモアゲーム
 スミレ, ヒロブレイブ
 スミレ, ヤマイチジャスティ
 スミレ, ピュアコンチェルト
 スミレ, ヴェゼール
 スミレ, ビービーサレンダー
