 ルリハリ, アサクサゲンキ
 ルリハリ, アイアンクロー
 ルリハリ, バーニングペスカ
 ルリハリ, ヴァイザー
 ルリハリ, イイコトズクシ
 ルリハリ, ペイシャルアス
 ルリハリ, モズスーパーフレア
 ルリハリ, スーサンドン
 ルリハリ, タイセイソニック
 ルリハリ, オーロスターキス
 ルリハリ, シトリカ
 ルリハリ, ナムラアッパレ
 ルリハリ, テイエムスグレモン
 ルリハリ, ナムラバンザイ
 ルリハリ, ジュンドリーム
 ルリハリ, ニシノダンテ
 ルリハリ, フローラルシトラス
