 ゴーイングパワー, ノボバカラ
 ゴーイングパワー, ニシケンモノノフ
 ゴーイングパワー, コーリンベリー
 ゴーイングパワー, タールタン
 ゴーイングパワー, スウィープアウェイ
 ゴーイングパワー, グレープブランデー
 ゴーイングパワー, エイシンブルズアイ
 ゴーイングパワー, キタサンミカヅキ
 ゴーイングパワー, ダノングッド
 ゴーイングパワー, マキャヴィティ
 ゴーイングパワー, サトノタイガー
 ゴーイングパワー, カジキ
 ゴーイングパワー, テムジン
 ゴーイングパワー, フラットライナーズ
 ゴーイングパワー, ルックスザットキル
