 モリノラスボス, タワーオブロンドン
 モリノラスボス, カシアス
 モリノラスボス, アサクサゲンキ
 モリノラスボス, ピースユニヴァース
 モリノラスボス, ニシノウララ
 モリノラスボス, トーセンアンバー
 モリノラスボス, エントシャイデン
 モリノラスボス, タイセイプライド
 モリノラスボス, マイティーワークス
 モリノラスボス, トキノメガミ
