 ヴァイザー, アサクサゲンキ
 ヴァイザー, アイアンクロー
 ヴァイザー, バーニングペスカ
 ヴァイザー, イイコトズクシ
 ヴァイザー, ペイシャルアス
 ヴァイザー, モズスーパーフレア
 ヴァイザー, スーサンドン
 ヴァイザー, タイセイソニック
 ヴァイザー, オーロスターキス
 ヴァイザー, ルリハリ
 ヴァイザー, シトリカ
 ヴァイザー, ナムラアッパレ
 ヴァイザー, テイエムスグレモン
 ヴァイザー, ナムラバンザイ
 ヴァイザー, ジュンドリーム
 ヴァイザー, ニシノダンテ
 ヴァイザー, フローラルシトラス
