 レッドルシファー, ミッキーアイル
 レッドルシファー, タガノグランパ
 レッドルシファー, フェルメッツァ
 レッドルシファー, タガノブルグ
 レッドルシファー, マキャヴィティ
 レッドルシファー, グッドスピリッツ
 レッドルシファー, エイシンブルズアイ
 レッドルシファー, アドマイヤメテオ
 レッドルシファー, グランフィデリオ
