 タマモボレロ, シングウィズジョイ
 タマモボレロ, ディアマイダーリン
 タマモボレロ, マキシマムドパリ
 タマモボレロ, ウインアキレア
 タマモボレロ, エバーシャルマン
 タマモボレロ, バンゴール
 タマモボレロ, ナガラフラワー
 タマモボレロ, アスカビレン
 タマモボレロ, ゴージャスガール
 タマモボレロ, フロレットアレー
 タマモボレロ, ロックキャンディ
 タマモボレロ, サダムブルーハワイ
 タマモボレロ, グリシーヌシチー
 タマモボレロ, アドマイヤピンク
 タマモボレロ, リアンドジュエリー
 タマモボレロ, レッドカーラ
