 ブラックロード, ミッキースワロー
 ブラックロード, アルアイン
 ブラックロード, サトノクロニクル
 ブラックロード, スティッフェリオ
 ブラックロード, プラチナヴォイス
 ブラックロード, サンデームーティエ
 ブラックロード, サーレンブラント
 ブラックロード, クレッシェンドラヴ
 ブラックロード, クリンチャー
 ブラックロード, ストロングレヴィル
 ブラックロード, サンシロウ
 ブラックロード, ローリングタワー
 ブラックロード, インペリアルフィズ
 ブラックロード, ブラックギムレット
