 ウインベラシアス, プラチナムバレット
 ウインベラシアス, サトノクロニクル
 ウインベラシアス, ダノンディスタンス
 ウインベラシアス, サトノリュウガ
 ウインベラシアス, ミッキースワロー
 ウインベラシアス, ゴールドハット
 ウインベラシアス, インヴィクタ
 ウインベラシアス, メルヴィンカズマ
 ウインベラシアス, ハギノアレス
 ウインベラシアス, カケルテソーロ
 ウインベラシアス, ユキノタイガ
