 ツクバアスナロ, フォーエバーモア
 ツクバアスナロ, マジックタイム
 ツクバアスナロ, ニシノアカツキ
 ツクバアスナロ, プレミアステイタス
 ツクバアスナロ, デルマサリーチャン
 ツクバアスナロ, セレナビアンカ
 ツクバアスナロ, グリサージュ
 ツクバアスナロ, ダイワソフィー
 ツクバアスナロ, タイセイティグレス
 ツクバアスナロ, シュヴァリエ
 ツクバアスナロ, サクラパリュール
 ツクバアスナロ, ラインハーディー
 ツクバアスナロ, フリュクティドール
 ツクバアスナロ, デルフィーノ
 ツクバアスナロ, カノーロ
