 テイエムスグレモン, アサクサゲンキ
 テイエムスグレモン, アイアンクロー
 テイエムスグレモン, バーニングペスカ
 テイエムスグレモン, ヴァイザー
 テイエムスグレモン, イイコトズクシ
 テイエムスグレモン, ペイシャルアス
 テイエムスグレモン, モズスーパーフレア
 テイエムスグレモン, スーサンドン
 テイエムスグレモン, タイセイソニック
 テイエムスグレモン, オーロスターキス
 テイエムスグレモン, ルリハリ
 テイエムスグレモン, シトリカ
 テイエムスグレモン, ナムラアッパレ
 テイエムスグレモン, ナムラバンザイ
 テイエムスグレモン, ジュンドリーム
 テイエムスグレモン, ニシノダンテ
 テイエムスグレモン, フローラルシトラス
