 ダノンレジェンド, サトノタイガー
 ダノンレジェンド, メイショウノーベル
 ダノンレジェンド, サウンドガガ
 ダノンレジェンド, タールタン
 ダノンレジェンド, ダッシャーワン
 ダノンレジェンド, タイセイファントム
 ダノンレジェンド, エイシンゴージャス
 ダノンレジェンド, マルカバッケン
 ダノンレジェンド, サトノプリンシパル
 ダノンレジェンド, アドマイヤサガス
 ダノンレジェンド, ノーザンリバー
 ダノンレジェンド, スリーボストン
 ダノンレジェンド, インペリアルマーチ
 ダノンレジェンド, ナンチンノン
 ダノンレジェンド, シルクフォーチュン
