 フローラルシトラス, アサクサゲンキ
 フローラルシトラス, アイアンクロー
 フローラルシトラス, バーニングペスカ
 フローラルシトラス, ヴァイザー
 フローラルシトラス, イイコトズクシ
 フローラルシトラス, ペイシャルアス
 フローラルシトラス, モズスーパーフレア
 フローラルシトラス, スーサンドン
 フローラルシトラス, タイセイソニック
 フローラルシトラス, オーロスターキス
 フローラルシトラス, ルリハリ
 フローラルシトラス, シトリカ
 フローラルシトラス, ナムラアッパレ
 フローラルシトラス, テイエムスグレモン
 フローラルシトラス, ナムラバンザイ
 フローラルシトラス, ジュンドリーム
 フローラルシトラス, ニシノダンテ
