 エーシンミラージュ, ゴールドシップ
 エーシンミラージュ, アドマイヤラクティ
 エーシンミラージュ, バンデ
 エーシンミラージュ, サトノノブレス
 エーシンミラージュ, ヒットザターゲット
 エーシンミラージュ, サイモントルナーレ
 エーシンミラージュ, タマモベストプレイ
 エーシンミラージュ, エーシンスピーダー
