 エルデュクラージュ, ブレスジャーニー
 エルデュクラージュ, スワーヴリチャード
 エルデュクラージュ, ムーヴザワールド
 エルデュクラージュ, キングズラッシュ
 エルデュクラージュ, トラスト
 エルデュクラージュ, ジュンヴァリアス
 エルデュクラージュ, ショワドゥロワ
 エルデュクラージュ, マイネルエパティカ
 エルデュクラージュ, オーバースペック
