 ピースユニヴァース, タワーオブロンドン
 ピースユニヴァース, カシアス
 ピースユニヴァース, アサクサゲンキ
 ピースユニヴァース, ニシノウララ
 ピースユニヴァース, トーセンアンバー
 ピースユニヴァース, エントシャイデン
 ピースユニヴァース, タイセイプライド
 ピースユニヴァース, マイティーワークス
 ピースユニヴァース, モリノラスボス
 ピースユニヴァース, トキノメガミ
