 カルムパシオン, スマートオーディン
 カルムパシオン, アグネスフォルテ
 カルムパシオン, ロイカバード
 カルムパシオン, ブラックスピネル
 カルムパシオン, エルプシャフト
 カルムパシオン, エルリストン
 カルムパシオン, スワーヴアーサー
 カルムパシオン, ゼンノタヂカラオ
 カルムパシオン, スズカバーディー
 カルムパシオン, ダンツエイコウ
 カルムパシオン, ユウチェンジ
 カルムパシオン, フォルテミノル
 カルムパシオン, アドマイヤビスタ
