 マイネルエパティカ, ブレスジャーニー
 マイネルエパティカ, スワーヴリチャード
 マイネルエパティカ, ムーヴザワールド
 マイネルエパティカ, キングズラッシュ
 マイネルエパティカ, トラスト
 マイネルエパティカ, ジュンヴァリアス
 マイネルエパティカ, ショワドゥロワ
 マイネルエパティカ, エルデュクラージュ
 マイネルエパティカ, オーバースペック
