 コリエドール, トラスト
 コリエドール, ブラックオニキス
 コリエドール, アドマイヤウイナー
 コリエドール, エトルディーニュ
 コリエドール, フラワープレミア
 コリエドール, ジャコマル
 コリエドール, インヴィクタ
 コリエドール, タガノアシュラ
 コリエドール, アンノートル
 コリエドール, ディープウォーリア
 コリエドール, トリオンフ
 コリエドール, コパノカーニバル
