 スワーヴエドワード, ダノンプレミアム
 スワーヴエドワード, ステルヴィオ
 スワーヴエドワード, カーボナード
 スワーヴエドワード, テンクウ
 スワーヴエドワード, シュバルツボンバー
 スワーヴエドワード, ダブルシャープ
 スワーヴエドワード, コスモインザハート
 スワーヴエドワード, ルッジェーロ
 スワーヴエドワード, ソイルトゥザソウル
 スワーヴエドワード, ボウルズ
 スワーヴエドワード, エングローサー
 スワーヴエドワード, マイネルサイルーン
 スワーヴエドワード, バイオレントブロー
 スワーヴエドワード, メイショウドウドウ
 スワーヴエドワード, ハクサンフエロ
 スワーヴエドワード, メルムサール
 スワーヴエドワード, スターリバー
