 ニシノダンテ, アサクサゲンキ
 ニシノダンテ, アイアンクロー
 ニシノダンテ, バーニングペスカ
 ニシノダンテ, ヴァイザー
 ニシノダンテ, イイコトズクシ
 ニシノダンテ, ペイシャルアス
 ニシノダンテ, モズスーパーフレア
 ニシノダンテ, スーサンドン
 ニシノダンテ, タイセイソニック
 ニシノダンテ, オーロスターキス
 ニシノダンテ, ルリハリ
 ニシノダンテ, シトリカ
 ニシノダンテ, ナムラアッパレ
 ニシノダンテ, テイエムスグレモン
 ニシノダンテ, ナムラバンザイ
 ニシノダンテ, ジュンドリーム
 ニシノダンテ, フローラルシトラス
