 ショウリュウバイオ, マキオボーラー
 ショウリュウバイオ, メイショウアラワシ
 ショウリュウバイオ, マイネルアダマス
 ショウリュウバイオ, リヴゴーシュ
 ショウリュウバイオ, ダンツメガヒット
 ショウリュウバイオ, ラガーギアチェンジ
 ショウリュウバイオ, クリノダイコクテン
 ショウリュウバイオ, ドリームセーリング
 ショウリュウバイオ, ビップハテンコウ
 ショウリュウバイオ, ブレイクアウト
