 バルベーラ, セダブリランテス
 バルベーラ, ウインガナドル
 バルベーラ, ロードリベラル
 バルベーラ, クリアザトラック
 バルベーラ, マイネルスフェーン
 バルベーラ, サトノクロニクル
 バルベーラ, ビービーガウディ
 バルベーラ, グランドボヌール
 バルベーラ, マイブルーヘブン
 バルベーラ, ライジングリーズン
 バルベーラ, ニシノアップルパイ
