 レガーロ, グレンツェント
 レガーロ, ケイティブレイブ
 レガーロ, ピットボス
 レガーロ, エネスク
 レガーロ, マイネルバサラ
 レガーロ, ネクストムーブ
 レガーロ, ラテールプロミーズ
 レガーロ, フォースリッチ
 レガーロ, オーシャンビュー
 レガーロ, グランセブルス
 レガーロ, コパノリスボン
 レガーロ, ヨシオ
