 サヴィ, サンライズノヴァ
 サヴィ, ハルクンノテソーロ
 サヴィ, サンライズソア
 サヴィ, サンオークランド
 サヴィ, タガノカトレア
 サヴィ, ウォーターマーズ
 サヴィ, リエノテソーロ
 サヴィ, アンティノウス
 サヴィ, ラユロット
 サヴィ, シゲルベンガルトラ
 サヴィ, ブルベアバブーン
 サヴィ, トラネコ
 サヴィ, トロピカルスパート
 サヴィ, シゲルコング
 サヴィ, テイエムヒッタマゲ
