 ノーブルルージュ, オーミアリス
 ノーブルルージュ, レオパルディナ
 ノーブルルージュ, スノーエンジェル
 ノーブルルージュ, ゼンノイザナギ
 ノーブルルージュ, リッパーザウィン
 ノーブルルージュ, タガノアザガル
 ノーブルルージュ, セカンドテーブル
 ノーブルルージュ, タガノヴェルリー
 ノーブルルージュ, デイドリーム
 ノーブルルージュ, ダンツメガヒット
 ノーブルルージュ, クリノヤクマン
 ノーブルルージュ, オメガタックスマン
 ノーブルルージュ, クールホタルビ
 ノーブルルージュ, メイショウマサカゼ
 ノーブルルージュ, ロットリー
 ノーブルルージュ, ヒマラヤテンカ
 ノーブルルージュ, タムロダイチ
