 フラワープレミア, トラスト
 フラワープレミア, ブラックオニキス
 フラワープレミア, アドマイヤウイナー
 フラワープレミア, エトルディーニュ
 フラワープレミア, ジャコマル
 フラワープレミア, インヴィクタ
 フラワープレミア, タガノアシュラ
 フラワープレミア, アンノートル
 フラワープレミア, ディープウォーリア
 フラワープレミア, トリオンフ
 フラワープレミア, コリエドール
 フラワープレミア, コパノカーニバル
