 タガノミルキー, シュウジ
 タガノミルキー, サイモンゼーレ
 タガノミルキー, レッドラウダ
 タガノミルキー, レッドカーペット
 タガノミルキー, コウエイテンマ
 タガノミルキー, オフクヒメ
 タガノミルキー, キンショーユキヒメ
 タガノミルキー, ブンブンブラウ
 タガノミルキー, ファビラスヒーロー
 タガノミルキー, ジュンゲル
 タガノミルキー, ゼンノハーデース
 タガノミルキー, オウケンダイヤ
 タガノミルキー, クリノシャンボール
