 ジュンヴァリアス, ブレスジャーニー
 ジュンヴァリアス, スワーヴリチャード
 ジュンヴァリアス, ムーヴザワールド
 ジュンヴァリアス, キングズラッシュ
 ジュンヴァリアス, トラスト
 ジュンヴァリアス, ショワドゥロワ
 ジュンヴァリアス, エルデュクラージュ
 ジュンヴァリアス, マイネルエパティカ
 ジュンヴァリアス, オーバースペック
