 サルドナ, ソルヴェイグ
 サルドナ, アットザシーサイド
 サルドナ, キャンディバローズ
 サルドナ, ダイアナヘイロー
 サルドナ, ソーディヴァイン
 サルドナ, リルティングインク
 サルドナ, メイショウスイヅキ
 サルドナ, カネトシブレス
 サルドナ, ワンダフルラッシュ
 サルドナ, エイシンピカソ
 サルドナ, カトルラポール
 サルドナ, エターナルユース
 サルドナ, ボーダレス
 サルドナ, ライディングハイ
 サルドナ, ナタリーバローズ
 サルドナ, クードラパン
 サルドナ, ウインミレーユ
