 クリスクリングル, メイショウブシドウ
 クリスクリングル, ドリームセーリング
 クリスクリングル, オースミムーン
 クリスクリングル, レッドキングダム
 クリスクリングル, マーリンシチー
 クリスクリングル, アラタマユニバース
 クリスクリングル, シゲルキョクチョウ
 クリスクリングル, シゲルヘビザ
 クリスクリングル, アマクサハイヤ
 クリスクリングル, シンワカントリー
 クリスクリングル, スリーマーゴーン
 クリスクリングル, クリノテンペスタ
