 ライディングハイ, ソルヴェイグ
 ライディングハイ, アットザシーサイド
 ライディングハイ, キャンディバローズ
 ライディングハイ, ダイアナヘイロー
 ライディングハイ, ソーディヴァイン
 ライディングハイ, リルティングインク
 ライディングハイ, サルドナ
 ライディングハイ, メイショウスイヅキ
 ライディングハイ, カネトシブレス
 ライディングハイ, ワンダフルラッシュ
 ライディングハイ, エイシンピカソ
 ライディングハイ, カトルラポール
 ライディングハイ, エターナルユース
 ライディングハイ, ボーダレス
 ライディングハイ, ナタリーバローズ
 ライディングハイ, クードラパン
 ライディングハイ, ウインミレーユ
