 テイケイラピッド, ミュゼスルタン
 テイケイラピッド, アヴニールマルシェ
 テイケイラピッド, ニシノラッシュ
 テイケイラピッド, コメート
 テイケイラピッド, ブリクスト
 テイケイラピッド, ナヴィオン
 テイケイラピッド, カシノハリウッド
 テイケイラピッド, ワキノヒビキ
 テイケイラピッド, ハナモモ
 テイケイラピッド, ヒルノマレット
 テイケイラピッド, トーホウハニー
 テイケイラピッド, ギンパリ
 テイケイラピッド, ディアコンチェルト
 テイケイラピッド, ゴッドバローズ
 テイケイラピッド, ラミーロ
 テイケイラピッド, コスモピーコック
 テイケイラピッド, グラスエトワール
