 ロットリー, オーミアリス
 ロットリー, レオパルディナ
 ロットリー, スノーエンジェル
 ロットリー, ゼンノイザナギ
 ロットリー, リッパーザウィン
 ロットリー, タガノアザガル
 ロットリー, セカンドテーブル
 ロットリー, タガノヴェルリー
 ロットリー, デイドリーム
 ロットリー, ダンツメガヒット
 ロットリー, クリノヤクマン
 ロットリー, オメガタックスマン
 ロットリー, クールホタルビ
 ロットリー, ノーブルルージュ
 ロットリー, メイショウマサカゼ
 ロットリー, ヒマラヤテンカ
 ロットリー, タムロダイチ
