 バンデ, ゴールドシップ
 バンデ, アドマイヤラクティ
 バンデ, サトノノブレス
 バンデ, ヒットザターゲット
 バンデ, エーシンミラージュ
 バンデ, サイモントルナーレ
 バンデ, タマモベストプレイ
 バンデ, エーシンスピーダー
