 エルプシャフト, スマートオーディン
 エルプシャフト, アグネスフォルテ
 エルプシャフト, ロイカバード
 エルプシャフト, ブラックスピネル
 エルプシャフト, エルリストン
 エルプシャフト, スワーヴアーサー
 エルプシャフト, ゼンノタヂカラオ
 エルプシャフト, スズカバーディー
 エルプシャフト, ダンツエイコウ
 エルプシャフト, ユウチェンジ
 エルプシャフト, フォルテミノル
 エルプシャフト, カルムパシオン
 エルプシャフト, アドマイヤビスタ
