 ベストリゾート, コマノインパルス
 ベストリゾート, ガンサリュート
 ベストリゾート, マイネルスフェーン
 ベストリゾート, ジュニエーブル
 ベストリゾート, アサギリジョー
 ベストリゾート, バリングラ
 ベストリゾート, サンティール
 ベストリゾート, ニシノアモーレ
 ベストリゾート, アダマンティン
 ベストリゾート, ポポカテペトル
 ベストリゾート, アダムバローズ
 ベストリゾート, メリオラ
 ベストリゾート, サーベラージュ
 ベストリゾート, イブキ
