 ソーグリッタリング, カデナ
 ソーグリッタリング, ヴァナヘイム
 ソーグリッタリング, ベストアプローチ
 ソーグリッタリング, ワンダープチュック
 ソーグリッタリング, プラチナヴォイス
 ソーグリッタリング, マイネルザウバア
 ソーグリッタリング, ダノンディスタンス
 ソーグリッタリング, エーティーラッセン
 ソーグリッタリング, アダムバローズ
