 サイバーエレキング, スワーヴリチャード
 サイバーエレキング, エトルディーニュ
 サイバーエレキング, ムーヴザワールド
 サイバーエレキング, タイセイスターリー
 サイバーエレキング, ディアシューター
 サイバーエレキング, エアウィンザー
 サイバーエレキング, ビルズトレジャー
 サイバーエレキング, チャロネグロ
 サイバーエレキング, アサギリジョー
 サイバーエレキング, エテレインミノル
