 エーティーラッセン, カデナ
 エーティーラッセン, ヴァナヘイム
 エーティーラッセン, ベストアプローチ
 エーティーラッセン, ワンダープチュック
 エーティーラッセン, ソーグリッタリング
 エーティーラッセン, プラチナヴォイス
 エーティーラッセン, マイネルザウバア
 エーティーラッセン, ダノンディスタンス
 エーティーラッセン, アダムバローズ
