 ブレスジャーニー, ダンビュライト
 ブレスジャーニー, クライムメジャー
 ブレスジャーニー, ウィンドライジズ
 ブレスジャーニー, バリンジャー
 ブレスジャーニー, セイウングロリアス
 ブレスジャーニー, ロジムーン
 ブレスジャーニー, サクセスムーン
 ブレスジャーニー, シャイニードライヴ
 ブレスジャーニー, スワーヴリチャード
 ブレスジャーニー, ムーヴザワールド
 ブレスジャーニー, キングズラッシュ
 ブレスジャーニー, トラスト
 ブレスジャーニー, ジュンヴァリアス
 ブレスジャーニー, ショワドゥロワ
 ブレスジャーニー, エルデュクラージュ
 ブレスジャーニー, マイネルエパティカ
 ブレスジャーニー, オーバースペック
 ブレスジャーニー, サトノクロニクル
 ブレスジャーニー, デニムアンドルビー
 ブレスジャーニー, モンドインテロ
 ブレスジャーニー, スーパーマックス
 ブレスジャーニー, マイネルミラノ
 ブレスジャーニー, マサハヤドリーム
 ブレスジャーニー, メドウラーク
 ブレスジャーニー, プリメラアスール
 ブレスジャーニー, レッドソロモン
 ブレスジャーニー, ジョルジュサンク
 ブレスジャーニー, ニシノジャーニー
 ブレスジャーニー , キセキ 
 ブレスジャーニー , クリンチャー 
 ブレスジャーニー , ポポカテペトル 
 ブレスジャーニー , マイネルヴンシュ 
 ブレスジャーニー , ダンビュライト 
 ブレスジャーニー , ミッキースワロー 
 ブレスジャーニー , アルアイン 
 ブレスジャーニー , クリノヤマトノオー 
 ブレスジャーニー , プラチナヴォイス 
 ブレスジャーニー , サトノクロニクル 
 ブレスジャーニー , サトノアーサー 
 ブレスジャーニー ,ベストアプローチ 
 ブレスジャーニー , スティッフェリオ 
 ブレスジャーニー , トリコロールブルー 
 ブレスジャーニー , ウインガナドル 
 ブレスジャーニー , アダムバローズ 
 ブレスジャーニー , マイスタイル 
