 アドマイヤメテオ, ミッキーアイル
 アドマイヤメテオ, タガノグランパ
 アドマイヤメテオ, フェルメッツァ
 アドマイヤメテオ, タガノブルグ
 アドマイヤメテオ, マキャヴィティ
 アドマイヤメテオ, グッドスピリッツ
 アドマイヤメテオ, エイシンブルズアイ
 アドマイヤメテオ, レッドルシファー
 アドマイヤメテオ, グランフィデリオ
