 テムジン, ノボバカラ
 テムジン, ニシケンモノノフ
 テムジン, コーリンベリー
 テムジン, ゴーイングパワー
 テムジン, タールタン
 テムジン, スウィープアウェイ
 テムジン, グレープブランデー
 テムジン, エイシンブルズアイ
 テムジン, キタサンミカヅキ
 テムジン, ダノングッド
 テムジン, マキャヴィティ
 テムジン, サトノタイガー
 テムジン, カジキ
 テムジン, フラットライナーズ
 テムジン, ルックスザットキル
