 タイセイティグレス, フォーエバーモア
 タイセイティグレス, マジックタイム
 タイセイティグレス, ニシノアカツキ
 タイセイティグレス, プレミアステイタス
 タイセイティグレス, デルマサリーチャン
 タイセイティグレス, セレナビアンカ
 タイセイティグレス, グリサージュ
 タイセイティグレス, ダイワソフィー
 タイセイティグレス, シュヴァリエ
 タイセイティグレス, サクラパリュール
 タイセイティグレス, ラインハーディー
 タイセイティグレス, フリュクティドール
 タイセイティグレス, デルフィーノ
 タイセイティグレス, カノーロ
 タイセイティグレス, ツクバアスナロ
