 ケルフロイデ, ドレッドノータス
 ケルフロイデ, リスペクトアース
 ケルフロイデ, アドマイヤエイカン
 ケルフロイデ, ジョルジュサンク
 ケルフロイデ, ロライマ
 ケルフロイデ, ウインクルサルーテ
 ケルフロイデ, キャノンストーム
 ケルフロイデ, ダンツプリウス
 ケルフロイデ, オンザロックス
 ケルフロイデ, ウインテンダネス
 ケルフロイデ, コパノミライ
 ケルフロイデ, プロフェット
 ケルフロイデ, メートルダール
 ケルフロイデ, アドマイヤモラール
 ケルフロイデ, ウムブルフ
 ケルフロイデ, ユウチェンジ
 ケルフロイデ, プランスシャルマン
 ケルフロイデ, ナムラシングン
 ケルフロイデ, ルネイション
 ケルフロイデ, マイネルラフレシア
 ケルフロイデ, ブレイブスマッシュ
 ケルフロイデ, ダイチラディウス
 ケルフロイデ, カミノライデン
 ケルフロイデ, アポロナイスジャブ
