 メイショウヨシミツ, ケイアイドウソジン
 メイショウヨシミツ, オースミムーン
 メイショウヨシミツ, アドマイヤトライ
 メイショウヨシミツ, オンワードデューク
 メイショウヨシミツ, カシマシンセイ
 メイショウヨシミツ, テイエムブユウデン
 メイショウヨシミツ, シゲルキョクチョウ
 メイショウヨシミツ, テイエムハリアー
 メイショウヨシミツ, アドマイヤツバサ
 メイショウヨシミツ, テイエムドンマイ
 メイショウヨシミツ, アシュヴィン
