 エーシンジーライン, ダンツミュータント
 エーシンジーライン, ニジブルーム
 エーシンジーライン, ウォンテッド
 エーシンジーライン, ドリームセーリング
 エーシンジーライン, オールアズワン
 エーシンジーライン, ファイアーシチー
 エーシンジーライン, シゲルキョクチョウ
 エーシンジーライン, ルールプロスパー
 エーシンジーライン, ミヤコデラックス
 エーシンジーライン, トウケイゴールド
