 メルヴィンカズマ, プラチナムバレット
 メルヴィンカズマ, サトノクロニクル
 メルヴィンカズマ, ダノンディスタンス
 メルヴィンカズマ, サトノリュウガ
 メルヴィンカズマ, ミッキースワロー
 メルヴィンカズマ, ゴールドハット
 メルヴィンカズマ, インヴィクタ
 メルヴィンカズマ, ウインベラシアス
 メルヴィンカズマ, ハギノアレス
 メルヴィンカズマ, カケルテソーロ
 メルヴィンカズマ, ユキノタイガ
