 カケルテソーロ, プラチナムバレット
 カケルテソーロ, サトノクロニクル
 カケルテソーロ, ダノンディスタンス
 カケルテソーロ, サトノリュウガ
 カケルテソーロ, ミッキースワロー
 カケルテソーロ, ゴールドハット
 カケルテソーロ, インヴィクタ
 カケルテソーロ, メルヴィンカズマ
 カケルテソーロ, ウインベラシアス
 カケルテソーロ, ハギノアレス
 カケルテソーロ, ユキノタイガ
