 アドマイヤビスタ, スマートオーディン
 アドマイヤビスタ, アグネスフォルテ
 アドマイヤビスタ, ロイカバード
 アドマイヤビスタ, ブラックスピネル
 アドマイヤビスタ, エルプシャフト
 アドマイヤビスタ, エルリストン
 アドマイヤビスタ, スワーヴアーサー
 アドマイヤビスタ, ゼンノタヂカラオ
 アドマイヤビスタ, スズカバーディー
 アドマイヤビスタ, ダンツエイコウ
 アドマイヤビスタ, ユウチェンジ
 アドマイヤビスタ, フォルテミノル
 アドマイヤビスタ, カルムパシオン
